secname	diam	L	elp	telp	avg/n	totlength	nc	nt	?
soma	14.371146	23.296749	1.171880	0.000000	0.000000	0.000000	0	1	0
axon	0.590000	41.690830	10.350187	10.350187	0.295000	41.690830	1	2	0
basal0	0.572819	155.318845	39.133541	39.133541	0.286409	155.318845	1	2	0
basal1	1.037794	96.981879	18.153849	18.153849	0.518897	96.981879	1	2	0
basal2	0.774181	134.223203	29.089748	29.089748	0.387091	134.223203	1	2	0
basal3	1.350879	68.550425	11.246972	11.246972	0.675439	68.550425	1	2	2
basal4	0.743433	114.190720	25.254785	36.501756	0.698104	182.741145	2	3	2
basal5	0.779993	101.505375	21.916813	33.163785	0.710291	170.055800	2	3	2
basal6	0.973633	120.207126	23.230907	23.230907	0.486817	120.207126	1	2	0
apical0	2.021627	26.713217	3.582691	3.582691	1.010814	26.713217	1	2	2
apical1	2.060000	35.602371	4.730194	8.312885	1.360542	62.315588	2	3	2
apical2	2.060000	26.854963	3.567998	11.880883	1.535407	89.170551	3	4	2
apical3	1.695317	46.438015	6.801142	18.682025	1.567389	135.608566	4	5	2
apical4	1.440035	35.974074	5.716587	24.398612	1.546163	171.582641	5	6	2
apical5	0.950000	18.583492	3.635793	28.034406	1.460997	190.166133	6	7	2
apical6	0.950000	8.018534	1.568797	29.603203	1.397122	198.184667	7	8	2
apical7	0.722346	99.551035	22.336068	51.939271	1.322147	297.735702	8	9	2
apical8	0.510000	60.599094	16.181348	45.784551	1.298553	258.783761	8	9	2
apical9	0.660000	120.471015	28.277711	56.312116	1.360872	310.637148	7	8	2
apical10	0.730000	30.633428	6.837035	31.235647	1.429568	202.216069	6	7	2
apical11	0.730000	16.606650	3.706417	34.942064	1.342122	218.822718	7	8	2
apical12	0.730000	49.444612	11.035479	45.977543	1.274109	268.267331	8	9	2
apical13	0.590000	77.123261	19.146661	54.088725	1.258553	295.945979	8	9	2
apical14	0.510000	13.026379	3.478342	34.713989	1.314622	215.242448	7	8	2
apical15	0.394390	85.740457	26.034944	60.748934	1.212374	300.982904	8	9	2
apical16	0.440000	68.607614	19.723302	54.437292	1.217442	283.850062	8	9	2
apical17	0.747569	118.825582	26.207044	44.889069	1.430752	254.434148	5	6	2
apical18	0.730000	4.512842	1.007215	12.888098	1.374325	93.683393	4	5	2
apical19	0.671284	103.768526	24.151619	37.039717	1.257152	197.451919	5	6	2
apical20	0.590000	92.411450	22.942114	35.830213	1.243605	186.094843	5	6	2
apical21	1.534714	53.757513	8.274829	16.587714	1.404085	116.073101	3	4	2
apical22	1.058466	34.910040	6.470613	23.058327	1.334962	150.983140	4	5	2
apical23	0.880000	54.355926	11.049413	34.107740	1.259135	205.339066	5	6	2
apical24	0.660000	94.311948	22.137491	56.245231	1.173544	299.651014	6	7	2
apical25	0.640425	64.178843	15.292958	49.400698	1.170748	269.517909	6	7	2
apical26	0.496128	24.833051	6.723059	56.123757	1.086420	294.350960	7	8	2
apical27	0.373151	25.339200	7.910145	57.310843	1.071048	294.857108	7	8	2
apical28	0.747289	99.800487	22.015165	45.073492	1.237016	250.783627	5	6	2
apical29	0.672975	30.031706	6.980947	23.568661	1.257863	146.104806	4	5	2
apical30	0.660000	66.618526	15.637117	39.205778	1.158219	212.723333	5	6	2
apical31	0.660000	37.685607	8.845801	48.051580	1.087045	250.408939	6	7	2
apical32	0.558602	81.576269	20.813552	68.865131	1.020990	331.985208	7	8	2
apical33	0.590000	109.916760	27.287992	75.339571	1.024915	360.325699	7	8	2
apical34	0.709350	103.441389	23.420582	62.626360	1.094095	316.164722	6	7	2
apical35	0.510000	154.692979	41.306574	64.875234	1.133219	300.797785	5	6	2
apical36	0.730000	14.074175	3.141197	6.723887	0.917209	40.787392	2	3	2
apical37	0.710665	34.875504	7.888996	14.612884	0.865573	75.662897	3	4	2
apical38	0.441463	62.743879	18.007680	32.620564	0.780751	138.406775	4	5	2
apical39	0.440000	38.272968	11.002705	25.615588	0.780458	113.935864	4	5	2
apical40	0.590000	46.799915	11.618571	18.342459	0.835407	87.587307	3	4	2
apical41	0.559381	80.396545	20.498264	38.840723	0.780202	167.983852	4	5	2
apical42	0.422740	55.053369	16.146588	34.489047	0.752874	142.640677	4	5	2
